title,description,author,date,link
NTSB says Autopilot engaged in 2018 California Tesla crash,"The National Transportation Safety Board said Tuesday a Tesla Model S was in Autopilot mode when it struck a fire truck in Culver City, California -- one of a series of crashes the board is investigating involving Tesla's driver assistance system.",Reuters Editorial,2019-09-03T16:22:20Z,https://www.reuters.com/article/us-tesla-crash-idUSKCN1VO22E
Unemployment falls to post-crash low of 5.2%,Latest monthly figures reflect continued growth in headline employment,Eoin Burke-Kennedy,2019-09-03T10:32:28Z,https://www.irishtimes.com/business/economy/unemployment-falls-to-post-crash-low-of-5-2-1.4006266
"Louise Kennedy AW2019: Long coats, sparkling tweed dresses and emerald knits",Autumn-winter collection features designer’s glittering take on Black Watch tartan,Deirdre McQuillan,2019-09-03T14:40:00Z,https://www.irishtimes.com/							/life-and-style/fashion/louise-kennedy-aw2019-long-coats-sparkling-tweed-dresses-and-emerald-knits-1.4006504	
North Korean footballer Han joins Italian giants Juventus,Han is the first North Korean player in the Serie A and was praised during his appearances during youth World Cups.,Al Jazeera,2019-09-03T17:25:39Z,https://www.aljazeera.com/news/2019/09/north-korean-footballer-han-joins-italian-giants-juventus-190903164640390.html
UK government lawyer says proroguing parliament 'political not legal',"The UK government's lawyer, David Johnston argued that proroguing parliament was a political decision for the government, rather than a legal matter for the court to decide.",BBC News,2019-09-03T14:39:21Z,https://www.bbc.co.uk/news/av/uk-scotland-49564244/uk-government-lawyer-says-proroguing-parliament-political-not-legal
'This Tender Land' is an affecting story about growing up,"""This Tender Land"" by William Kent Krueger is an affecting story about growing up and overcoming a childhood filled with neglect, abuse and racism during the Depression.",The Associated Press,2019-09-03T15:56:49Z,https://abcnews.go.com/Entertainment/wireStory/tender-land-affecting-story-growing-65359757
EU wants to see if lawmakers will block Brexit before striking new deal: UK's Johnson,"The European Union is waiting to see if British lawmakers block Brexit before giving Britain concessions to strike a new withdrawal agreement, Prime Minister Boris Johnson said.",Reuters Editorial,2019-09-03T16:25:41Z,https://www.reuters.com/article/us-britain-eu-johnson-concession-idUSKCN1VO22Z
European third quarter profit outlook improves slightly but still in recession: Refinitv,"Earnings and revenue expectations for European companies for the third quarter have improved very slightly, although the region is still expected to be in a corporate recession, according to data on Tuesday.'",Reuters Editorial,2019-09-03T16:53:48Z,https://www.reuters.com/article/us-europe-stocks-results-idUSKCN1VO24X
How are emotional support animals allowed on flights?,"There's been support dogs, a support turkey, and now a support horse on a plane - what's going on?",https://www.facebook.com/bbcnews,2019-09-03T16:21:52Z,https://www.bbc.co.uk/news/newsbeat-49564227
Boris Johnson to meet Leo Varadkar in Dublin on Monday,UK prime minister will meet Taoiseach for talks on Brexit and Northern Ireland,Pat Leahy,2019-09-03T15:04:43Z,https://www.irishtimes.com/news/politics/boris-johnson-to-meet-leo-varadkar-in-dublin-on-monday-1.4006533
