title,description,author,date,link
Santoli’s Wednesday market notes: Could September’s stock shakeout tee up strength for the fourth quarter?,"This is the daily notebook of Mike Santoli, CNBC's senior markets commentator, with ideas about trends, stocks and market statistics.",Michael Santoli,2021-09-29T17:09:39+0000,https://www.cnbc.com/2021/09/29/santolis-wednesday-market-notes-could-septembers-stock-shakeout-tee-up-strength-for-the-fourth-quarter.html
My take on the early Brexit winners and losers,,,2016-06-24T13:50:48-0400,https://www.cnbc.com/2016/06/24/ian-bremmers-take-on-the-early-brexit-winners-and-losers-commentary.html
Europe&#039;s recovery depends on Renzi&#039;s Italy,,,2014-03-25T13:29:45-0400,https://www.cnbc.com/2014/03/25/europes-recovery-depends-on-renzis-italycommentary.html
US Moves Closer to Becoming A Major Shareholder In GM,,Michelle Caruso-Cabrera,2009-04-22T19:49:03+0000,https://www.cnbc.com/2009/04/22/us-moves-closer-to-becoming-a-major-shareholder-in-gm.html
Trump: 'Mission accomplished' on 'perfectly executed' Syria strike,,Javier E. David,2018-04-14T14:59:04+0000,https://www.cnbc.com/2018/04/14/trump-mission-accomplished-on-perfectly-executed-syria-strike.html
Chevron CEO Watson says he supports Trump on tax reform,,Lauren Thomas,2017-03-07T23:07:14+0000,https://www.cnbc.com/2017/03/07/chevron-ceo-watson-says-he-supports-trump-on-tax-reform.html
22. Hexadite,,,2017-02-28T11:00:37-0500,https://www.cnbc.com/2017/02/28/upstart-25-hexadite.html
European stocks close higher on supportive Fed; Signature Aviation skyrockets 40%,LONDON — European stocks closed higher on Thursday as traders reacted positively to comments from the U.S. Federal Reserve that it will continue to support the economy.,"Elliot Smith,Holly Ellyatt",2020-12-17T06:08:38+0000,https://www.cnbc.com/2020/12/17/european-stock-futures-us-fed-to-support-economy-.html
"Fewer investors have a 'fear of missing out,' so it may be time to buckle up, market bull suggests",,Stephanie Landsman,2019-07-28T21:00:47+0000,https://www.cnbc.com/2019/07/26/fear-of-missing-out-sentiment-is-fading-market-bull-says.html
Morgan Stanley Tries to Stave Off Ratings Cut ,,,2012-04-05T06:53:57+0000,https://www.cnbc.com/2012/04/05/morgan-stanley-tries-to-stave-off-ratings-cut.html
Consultant to 'Vampire Squid of Expert Network Firms' Questioned by FBI,"We know that one of the principal focuses of the government in their investigation into insider trading in general—and into hedge funds in particular—are the so-called ""expert-network"" firms.",Ash Bennington,2010-11-30T15:42:50+0000,https://www.cnbc.com/2010/11/30/consultant-to-vampire-squid-of-expert-network-firms-questioned-by-fbi.html
Average tax refunds are down 8.4% in the wake of Trump tax cuts,,,2019-02-11T10:04:30+0000,https://www.cnbc.com/2019/02/11/average-tax-refunds-are-down-8point4percent-in-wake-of-trump-tax-cuts.html
Watch: Oaktree Capital's Howard Marks speak from the Context Summit,,Thomas Franck,2019-01-30T20:32:22+0000,https://www.cnbc.com/2019/01/30/watch-oaktree-capitals-howard-marks-speak-from-the-context-summit.html
Guggenheim says solar sell-off is a buying opportunity and has an unusual favorite stock,,Pippa Stevens,2021-06-03T10:44:44+0000,https://www.cnbc.com/2021/06/03/solar-stocks-sunrun-sunnova-among-guggenheims-buy-rated-picks.html
Eni Pays Dominion $4.76 Billion for U.S. Gulf Assets,,,2007-04-30T06:55:55+0000,https://www.cnbc.com/2007/04/30/eni-pays-dominion-476-billion-for-us-gulf-assets.html
Strategist Paulsen: Market bottom is not in,,Tae Kim,2015-10-06T19:24:25+0000,https://www.cnbc.com/2015/10/06/strategist-paulsen-market-bottom-is-not-in.html
"CDC says 28 blood clot cases, 3 deaths may be linked to J&J Covid vaccine",,"Dawn Kopecki,Rich Mendez",2021-05-12T21:01:16+0000,https://www.cnbc.com/2021/05/12/cdc-says-28-blood-clot-cases-3-deaths-may-be-linked-to-jj-covid-vaccine.html
The world’s most powerful women are …,,,2014-05-29T01:01:17+0000,https://www.cnbc.com/2014/05/28/the-worlds-most-powerful-women-are.html
Banks within Wal-Mart stores collecting high fees,,CNBC.com staff,2014-05-12T15:38:19+0000,https://www.cnbc.com/2014/05/12/banks-within-wal-mart-stores-collecting-high-fees.html
The Materials Of A Trade,,Lee Brodie,2008-03-04T00:25:24+0000,https://www.cnbc.com/2008/03/03/the-materials-of-a-trade.html
CA leaders propose $1B drought relief package,,Jacob Pramuk,2015-03-19T19:43:07+0000,https://www.cnbc.com/2015/03/19/ca-leaders-propose-1b-drought-relief-package.html
Philippines Q1 GDP growth slows to 1.1% q/q,,,2016-05-19T03:03:37+0000,https://www.cnbc.com/2016/05/18/philippines-q1-gdp-growth-slows-to-11-qq.html
Pitbull fallout: Governor wants tourism head to step down,,,2016-12-17T15:07:56+0000,https://www.cnbc.com/2016/12/17/pitbull-fallout-governor-wants-tourism-head-to-step-down.html
Georgia's lieutenant governor says he will 'kill' Delta tax break unless airline reinstates relationship with NRA,,Leslie Josephs,2018-02-26T21:26:02+0000,https://www.cnbc.com/2018/02/26/georgia-lt-gov-will-kill-delta-tax-break-unless-airline-restores-nra-ties.html
Fast Funds: Final Call,,Carlo Dellaverson,2007-07-05T00:57:16+0000,https://www.cnbc.com/2007/07/04/fast-funds-final-call.html
"Dow closes 380 points lower, snaps longest monthly win streak since 1959",,Fred Imbert,2018-02-28T14:30:29+0000,https://www.cnbc.com/2018/02/28/us-stocks-interest-rates-fed-markets.html
Cramer’s Top 6 Comeback Stocks for 2010,,,2010-07-26T14:19:22+0000,https://www.cnbc.com/2010/07/26/Cramers-Top-6-Comeback-Stocks-for-2010.html
What Apple’s $100 Billion Really Means ,,John Carney,2012-01-25T20:27:04+0000,https://www.cnbc.com/2012/01/25/what-apples-100-billion-really-means.html
"US Treasurys lower as investors focus on data, monitor Russia-US relations",,Silvia Amaro,2017-07-31T19:31:48+0000,https://www.cnbc.com/2017/07/31/us-treasurys-lower-as-investors-focus-on-earnings-monitor-russia-us-relations.html
"Market Anxiety Hits Transports, Russell 2000, Nasdaq",,Bob Pisani,2012-04-16T16:44:20+0000,https://www.cnbc.com/2012/04/16/market-anxiety-hits-transports-russell-2000-nasdaq.html
"Phoenix Suns add another partnership, pairing up with Fanatics",,Jabari Young,2021-05-11T12:30:01+0000,https://www.cnbc.com/2021/05/11/phoenix-suns-partners-with-fanatics-in-new-merchandise-deal.html
Financial planner: Here's when you should temporarily stop saving for retirement during the pandemic,,Kathleen Elkins,2020-03-18T16:17:43+0000,https://www.cnbc.com/2020/03/18/when-to-temporarily-stop-saving-for-retirement-during-the-pandemic.html
