title,description,author,date,link
Racism changed my identity,,Marc Lamberts,06/22/17,https://www.huffpost.com/entry/racism-changed-my-identity_b_594ba736e4b07cdb1933bff9
10 Great Girls Getaways That Don't Require A Passport,"Girls just wanna have fun, and you don't have to leave the country to do it.",Allison Fox,04/27/17,https://www.huffpost.com/entry/vacation-ideas-for-a-girls-getaway-without-a-passport_n_58ff72d5e4b0288f5dc84192
Windows 10: My Kind of Upgrade,"I'm a whole lot older now. And I've noticed that I'm getting to be as timid about some new stuff as my parents were as they got older. Okay, not <em>quite</em> as bad, but I am more cautious. I'm retired, for one thing. Living on a pension and SSI. And if I trash a computer or cell phone or something, I may not be able to buy a new one for a good long while.",Cynthia Dagnal Myron,08/03/15,https://www.huffpost.com/entry/windows-10-my-kind-of-upgrade_b_7918600
Interview With Cai Guo-Qiang,"One morning in May we arrived at the apartment that Cai shares with Hong Hong Wu, his wife, and their two daughters in New York's Soho district. As he was refurbishing his work studio at the time, we were lucky enough to see his home transformed into a kind of workshop.",Elena Cué,02/24/15,https://www.huffpost.com/entry/interview-with-cai-guo-qiang_b_6738320
The Foo Fighters Performed David Letterman's Favorite Song For Final 'Late Show',,Oliver Whitney,05/21/15,https://www.huffpost.com/entry/foo-fighters-everlong-letterman_n_7350482
Kanye West: 'Exclusivity Is The New N-Word',,Jessica Goodman,02/26/15,https://www.huffpost.com/entry/kanye-west-zane-lowe-interview_n_6763148
Welcome To The New Democratic Party,"This weekend in Orlando, Florida members of the Platform Committee met to help create the Democratic party's positions on a number of key issues. I was honored to attend as a Committee member on behalf of Senator Bernie Sanders.",Elizabeth Weill-Greenberg,07/14/16,https://www.huffpost.com/entry/welcome-to-the-new-democr_b_10935430
Kourtney Kardashian Shares Adorable Photo With Baby Reign,,Cavan Sieczkowski,06/26/15,https://www.huffpost.com/entry/kourtney-kardashian-shares-adorable-photo-with-baby-reign_n_558d51fae4b09d89b7226a0c
The 18 Best Deals During Nordstrom's Winter Sale,The retailer has winter essentials up to 40 percent off right now.,Amanda Pena,02/16/18,https://www.huffpost.com/entry/best-deals-of-nordstroms-winter-sale_n_5a86f6d7e4b004fc319182c2
"Brutal Honesty About What It Takes to Be Fit at 40, and an Unexpected Epiphany Thanks to Brooke Burke-Charvet",,Tara Garland,09/03/15,https://www.huffpost.com/entry/brutal-honesty-about-what_b_8084926
