title,description,author,date,link
Komeito chief calls for Japan to create Asian security framework,Natsuo Yamaguchi proposed that Japan take the lead in establishing an Asian architecture that would include China and the U.S. in a bid to stem soaring regional tensions.,Jesse Johnson,2022-01-02T17:08:49+09:00,https://www.japantimes.co.jp/news/2022/01/02/national/politics-diplomacy/natsuo-yamaguchi-asian-security/
Moon Jae-in to focus on victims in 'comfort women' row with Japan,"South Korean President Moon Jae-in vowed Friday to spotlight the plight of South Korea's last few surviving ""comfort women,"" who suffered under Japan’s mil",,2020-08-14T18:54:42+09:00,https://www.japantimes.co.jp/news/2020/08/14/national/moon-comfort-women-victims-japan/
Abandoned boats pose tsunami hazard at Nagoya port,Nagoya authorities are worried that the more than 100 abandoned boats in its port pose a potential hazard to navigation — as well as a danger to the,No Author,2015-03-06T16:28:09+09:00,https://www.japantimes.co.jp/news/2015/03/06/national/abandoned-boats-pose-tsunami-hazard-nagoya-port/
NSA surveillance powers lapse after no deal in Senate,Three U.S. spy programs aimed at stopping terrorists expired early Monday amid a standoff among Senate Republicans over legislation to renew them. For the,No Author,2015-06-01T13:26:48+09:00,https://www.japantimes.co.jp/news/2015/06/01/world/politics-diplomacy-world/senate-meeting-unlikely-take-action-surveillance-powers-lapse-terror-threat-raised/
Mamma mia! Nintendo to open archive in Kyoto,"The facility ""where Nintendo's historical products will be showcased, and exhibits and experiences will be available"" is expected to be completed by March 2024.",,2021-06-03T01:27:43+09:00,https://www.japantimes.co.jp/news/2021/06/03/business/corporate-business/nintendo-museum-kyoto/
"Russia officers aiding rebels, Ukraine says",Ukraine accused Russian army officers on Monday of fighting alongside separatists in the east of the country and said Moscow was once more building up its,No Author,2014-07-15T17:38:29+09:00,https://www.japantimes.co.jp/news/2014/07/15/world/politics-diplomacy-world/russia-officers-aiding-rebels-ukraine-says/
Poaching of glass eels on the rise in Japan amid surging prices,"Japan is struggling to crack down on the poaching of glass eels, which has been on the rise due to surging prices reflecting unprecedentedly poor catches.",No Author,2020-01-28T18:19:20+09:00,https://www.japantimes.co.jp/news/2020/01/28/national/poaching-glass-eels-rise-japan-amid-surging-prices/
Nation's regional banks facing choice of mergers or extinction,Hiroshi Iwama and Mitsunori Watanabe used to joke about merging their banks in central Japan. When the Bank of Japan introduced negative interest rates las,Gareth Allan,2017-07-12T16:49:39+09:00,https://www.japantimes.co.jp/news/2017/07/12/business/nations-regional-banks-facing-choice-mergers-extinction/
Japan still on fence about AIIB but envisages $1.5 billion contribution if it joins,The government does not rule out the possibility of joining a China-led development bank to be launched by the year's end and also envisages a possible con,No Author,2015-04-08T13:14:52+09:00,https://www.japantimes.co.jp/news/2015/04/08/business/japan-still-fence-aiib-envisages-possible-contribution-1-5-billion-joins/
Imperial Couple release 'waka' poems to mark New Year's Day,"The Imperial Household Agency released on Thursday several 31-syllable ""waka"" poems written by the Imperial Couple in 2014 to celebrate New Year's Day. In",No Author,2015-01-01T11:43:50+09:00,https://www.japantimes.co.jp/news/2015/01/01/national/imperial-couple-release-waka-poems-mark-new-years-day/
"The Nikkei is back at 30,000. But it’s a whole different world.","With the index crash in 1990 that followed the deflating of the asset-price bubble, it would take more than three decades for the benchmark to hit a threshold first reached in 1988.",Shoko Oda,2021-02-17T15:06:23+09:00,https://www.japantimes.co.jp/news/2021/02/17/business/financial-markets/nikkei-average-looking-back/
Japanese automakers target China's youth,"Despite the bilateral dispute over the Senkaku Islands, young Chinese consumers appear more concerned with product quality and safety rather than Beijing's",Ko Hirano,2013-04-23T00:10:19+09:00,https://www.japantimes.co.jp/news/2013/04/23/business/japanese-automakers-target-chinas-youth/
U.K.’s Boris Johnson faces week that defines his political future,"Member of Parliament Nusrat Ghani's claim on Sunday that she was fired as a minister in 2020 partly because of her ""Muslimness"" have further dented trust in the prime minister.",Emily Ashton,2022-01-24T12:16:01+09:00,https://www.japantimes.co.jp/news/2022/01/24/world/politics-diplomacy-world/uk-johnson-political-future/
"Japan's 'Abenomask' drive tainted by gripes over mold, stains and bugs",Government's 'two masks for every household' policy faces renewed criticism as social media spreads stories of poor quality control.,,2020-04-23T16:47:54+09:00,https://www.japantimes.co.jp/news/2020/04/23/national/abenomask-mold-bugs/
China’s Xi leaves Zelenskyy out of Ukraine diplomatic push,"Xi has spoken with at least eight world leaders in the month since the invasion, stressing Beijing’s preference for dialogue over war and sanctions.",No Author,2022-03-24T16:53:37+09:00,https://www.japantimes.co.jp/news/2022/03/24/world/xi-shuns-zelenskyy/
University lecturer with ADHD pushes software for students with developmental disorders,"When Naoto, a university senior, clicked on one of the classes colored red and blue on his computer screen, a new window popped up showing his attendance.",No Author,2016-11-15T14:32:37+09:00,https://www.japantimes.co.jp/news/2016/11/15/national/social-issues/university-lecturer-adhd-pushes-software-students-developmental-disorders/
Australia’s new leader faces peril of winning as ‘not the other guy’,"Anthony Albanese won the election with a campaign that was gaffe-prone and light on policy but promised a more decent form of politics, delivering a stark rejection of Scott Morrison.",Damien Cave,2022-05-22T10:43:49+09:00,https://www.japantimes.co.jp/news/2022/05/22/asia-pacific/politics-diplomacy-asia-pacific/anthony-albanese-australia-election/
U.S. and Taiwan sign coast guard deal to counter Chinese pressure,"The two sides will establish a working group to ""improve communications, build cooperation, and share information” on coast guard-related efforts.",,2021-03-26T15:36:01+09:00,https://www.japantimes.co.jp/news/2021/03/26/asia-pacific/taiwan-us-coast-guard/
"World less peaceful than a decade ago, global index shows","The world is less peaceful than a decade ago, mostly due to conflict in the Middle East and Africa that is costing the global economy trillions of dollars,",No Author,2018-06-06T14:23:01+09:00,https://www.japantimes.co.jp/news/2018/06/06/world/world-less-peaceful-decade-ago-global-index-shows/
Nippon Ishin sticks with Ichiro Matsui as chief even as it seeks younger leadership,"Nippon Ishin no Kai, which saw its seat count nearly quadruple in the Lower House election, decided to keep Ichiro Matsui on as leader after deciding not to hold a presidential election",Eric Johnston,2021-11-28T15:30:56+09:00,https://www.japantimes.co.jp/news/2021/11/28/national/matsui-nippon-ishin/
Priests take up pen to stop suicides,"To help turn the tide against suicide, a volunteer group of Buddhist priests, both men and women, writes letters to distraught people to help keep them fro",Takeshi Nishide,2013-11-21T21:08:54+09:00,https://www.japantimes.co.jp/news/2013/11/21/national/priests-take-up-pen-to-stop-suicides/
Johnson uses colorful language to make point about May's latest Brexit plan,British Foreign Secretary (foreign minister) Boris Johnson strongly criticized Prime Minister Theresa May's latest Brexit proposal in typically colorful te,No Author,2018-07-08T21:26:14+09:00,https://www.japantimes.co.jp/news/2018/07/08/world/politics-diplomacy-world/johnson-uses-colorful-language-make-point-mays-latest-brexit-plan/
Elderly homeowners and needy lodgers could be a perfect match,"The practice of young people becoming lodgers in the homes of elderly people is undergoing a revival, thanks to the rapid aging of the population. Sachio Y",Sawako Obara,2013-07-02T00:06:01+09:00,https://www.japantimes.co.jp/news/2013/07/02/national/elderly-homeowners-and-needy-lodgers-could-be-a-perfect-match/
Kyoto's tourism boom spells war for luxury hotel chains,"Kyoto's recent record-setting tourism boom has sparked a mini-""hotel war,"" with some of the world's best-known luxury inn chains opening branches in the an",Eric Johnston,2015-02-22T17:00:24+09:00,https://www.japantimes.co.jp/news/2015/02/22/national/kyotos-tourism-boom-spells-war-luxury-hotel-chains/
Calderons hopeful as end game approaches,"The clock is ticking for an undocumented Filipino couple in Warabi, Saitama Prefecture, who must decide by Monday whether to leave the country with or with",Natsuko Fukue,2009-03-06T09:01:30+09:00,https://www.japantimes.co.jp/news/2009/03/06/national/calderons-hopeful-as-end-game-approaches/
Quest for artificial intelligence highlights lack of critical thinking skills in humans,"Thanks to the relentless work of dedicated engineers, artificial intelligence, or AI, becomes smarter by the day. But while computers become better at repl",Shusuke Murai,2016-12-01T16:01:37+09:00,https://www.japantimes.co.jp/news/2016/12/01/business/tech/quest-artificial-intelligence-highlights-lack-critical-thinking-skills-humans/
Taiwan-Biden ties off to strong start with invite for top diplomat,"Taiwan's relationship with its most important global backer has gotten off to a strong start with U.S. President Joe Biden's new administration, after the",,2021-01-21T10:47:14+09:00,https://www.japantimes.co.jp/news/2021/01/21/asia-pacific/bide-taiwan-us-ties/
Saudi Arabia says France arrested wrong man over Jamal Khashoggi murder,"The Saudi Embassy in Paris issued a statement saying the man arrested ""has nothing to do with the case in question"" and demanded his immediate release.",,2021-12-08T10:29:25+09:00,https://www.japantimes.co.jp/news/2021/12/08/world/crime-legal-world/jamal-khashoggi-murder-arrest/
NEC to launch world's lightest notebook PC,"At less than 800 grams, a 13.3-inch notebook personal computer headed for the domestic market in November will be the world’s lightest, NEC Personal Computers Ltd.",No Author,2013-10-15T22:02:12+09:00,https://www.japantimes.co.jp/news/2013/10/15/business/corporate-business/nec-to-launch-worlds-lightest-notebook-pc/
China's hottest app inspired by devotion to Japanese manga,Erick Guo left Asia's largest Internet company last year to build a team of artists and engineers who could create smartphone applications inspired by Japa,Tim Culpan,2014-07-09T17:27:00+09:00,https://www.japantimes.co.jp/news/2014/07/09/business/corporate-business/chinas-hottest-app-inspired-devotion-japanese-manga/
GameStop frenzy is lost in translation for Japan’s day traders,"Whatever the reason, Japan’s throngs of retail investors seems reluctant to get too involved in the GameStop Corp. trading frenzy that has shaken markets worldwide.",Gearoid Reidy,2021-02-03T12:05:34+09:00,https://www.japantimes.co.jp/news/2021/02/03/business/gamestop-japan-trade/
LDP candidate wins Upper House by-election in Ishikawa,The LDP win in the Ishikawa by-election could give momentum to the ruling bloc in the run-up to this summer's Upper House vote.,No Author,2022-04-24T20:48:25+09:00,https://www.japantimes.co.jp/news/2022/04/24/national/politics-diplomacy/ishikawa-election/
Bill to bar ships from ports goes to Diet,The Liberal Democratic Party and New Komeito submitted a bill Tuesday to the Diet that would allow the government to bar North Korean ships from entering J,Tetsushi Kajimoto,2004-04-07T09:05:37+09:00,https://www.japantimes.co.jp/news/2004/04/07/national/bill-to-bar-ships-from-ports-goes-to-diet/
Work begins on repairing Kansai airport's bridge with an aim of restarting rail services by end of month,"West Nippon Expressway Co. plans to finish removing a heavily-damaged 2,000-ton girder on the causeway to Kansai International Airport, the nation’s third-busiest air hub, by Friday.",Reiji Yoshida,2018-09-12T19:29:43+09:00,https://www.japantimes.co.jp/news/2018/09/12/national/work-begins-repairing-kansai-airports-bridge-aim-restarting-rail-services-end-month/
Government to honor baseball champs,"As the nation basked in the triumph of Japan's victory in the inaugural World Baseball Classic the previous day, the government added to the euphoria Wedne",Hiroko Nakata,2006-03-23T09:05:18+09:00,https://www.japantimes.co.jp/news/2006/03/23/national/government-to-honor-baseball-champs/
"As Philippines battles militants, deaths climb in crowded refugee centers","Four weeks since fierce fighting broke out in the southern Philippines, some who fled the battle are dying in overcrowded and unsanitary evacuation centers",No Author,2017-06-19T17:01:17+09:00,https://www.japantimes.co.jp/news/2017/06/19/asia-pacific/philippines-battles-militants-deaths-climb-crowded-refugee-centers/
